Title,Distibutor,Max Theaters,Opening Weekend,Opening Theaters,Year,Weekend #,Multiplier,Box Office Mojo URL,RT Rating,Mojo Genre,Mojo MPAA,Mojo Budget,Director,Producer,Composer,Gross
Deadpool,Fox,3856,132434639,3558,2016,7,2.74,http://www.boxofficemojo.com/movies/?id=deadpool2016.htm,84,Action,R,58,Tim Miller,Lauren Schuler Donner,Junkie XL,363070709
Inside Out,BV,4158,90440272,3946,2015,25,3.94,http://www.boxofficemojo.com/movies/?id=pixar2014.htm,98,Animation,PG,175,Pete Docter,John Lasseter,Michael Giacchino,356461711
Furious 7,Uni.,4022,147187040,4004,2015,14,2.4,http://www.boxofficemojo.com/movies/?id=fast7.htm,79,Action,PG-13,190,James Wan,Vin Diesel,Brian Tyler,353007020
Transformers: Dark of the Moon,P/DW,4088,97852865,4088,2011,25,3.6,http://www.boxofficemojo.com/movies/?id=transformers3.htm,35,Sci-Fi Action,PG-13,195,Michael Bay,Michael Bay,Steve Jablonsky,352390543
American Sniper,WB,3885,633456,4,2015,3,552.72,http://www.boxofficemojo.com/movies/?id=americansniper.htm,72,Drama,R,58.8,Clint Eastwood,Bradley Cooper,?,350126372
Zootopia,BV,3959,75063401,3827,2016,10,4.55,http://www.boxofficemojo.com/movies/?id=disney2016.htm,98,Animation,PG,?,Byron Howard,?,Michael Giacchino,341268248
The Hunger Games: Mockingjay - Part 1,LGF,4151,121897634,4151,2014,47,2.77,http://www.boxofficemojo.com/movies/?id=hungergames3.htm,65,Action,PG-13,125,Francis Lawrence,Suzanne Collins,James Newton Howard,337135885
Spider-Man 3,Sony,4324,151116516,4252,2007,18,2.23,http://www.boxofficemojo.com/movies/?id=spiderman3.htm,63,Action,PG-13,258,Sam Raimi,Kevin Feige,Christopher Young,336530303
Minions,Uni.,4311,115718405,4301,2015,28,2.9,http://www.boxofficemojo.com/movies/?id=minions.htm,56,Animation,PG,74,Pierre Coffin,Janet Healy,Heitor Pereira,336045770
Alice in Wonderland (2010),BV,3739,116101023,3728,2010,10,2.88,http://www.boxofficemojo.com/movies/?id=aliceinwonderland10.htm,52,Family Adventure,PG,200,Tim Burton,Joe Roth,Danny Elfman,334191110
Guardians of the Galaxy,BV,4088,94320883,4080,2014,31,3.53,http://www.boxofficemojo.com/movies/?id=marvel2014a.htm,91,Action,PG-13,170,James Gunn,Kevin Feige,Tyler Bates,333176600
Batman v Superman: Dawn of Justice,WB,4256,166007347,4242,2016,13,1.99,http://www.boxofficemojo.com/movies/?id=superman2015.htm,27,Action,PG-13,250,Zack Snyder,David S. Goyer,Junkie XL,330360194
Suicide Squad,WB,4255,133682248,4255,2016,32,2.43,http://www.boxofficemojo.com/movies/?id=dc2016.htm,26,Action,PG-13,175,David Ayer,Charles Roven,Steven Price,325100054
Shrek the Third,P/DW,4172,121629270,4122,2007,20,2.65,http://www.boxofficemojo.com/movies/?id=shrek3.htm,41,Animation,PG,160,Chris Miller,?,Harry Gregson,322719944
Transformers,P/DW,4050,70502384,4011,2007,27,4.53,http://www.boxofficemojo.com/movies/?id=transformers06.htm,57,Sci-Fi Action,PG-13,150,Michael Bay,Michael Bay,Steve Jablonsky,319246193
Iron Man,Par.,4154,98618668,4105,2008,18,3.23,http://www.boxofficemojo.com/movies/?id=ironman.htm,94,Action,PG-13,140,Jon Favreau,Avi Arad,Ramin Djawadi,318412101
Indiana Jones and the Kingdom of the Crystal Skull,Par.,4264,100137835,4260,2008,21,3.17,http://www.boxofficemojo.com/movies/?id=indianajones4.htm,77,Period Adventure,PG-13,185,Steven Spielberg,George Lucas,John Williams,317101119
Iron Man 2,Par.,4390,128122480,4380,2010,19,2.44,http://www.boxofficemojo.com/movies/?id=ironman2.htm,72,Action,PG-13,200,Jon Favreau,Louis D,John Debney,312433331
