Title,Distibutor,Max Theaters,Opening Weekend,Opening Theaters,Year,Weekend #,Multiplier,Box Office Mojo URL,RT Rating,Mojo Genre,Mojo MPAA,Mojo Budget,Director,Producer,Composer,Gross
Limitless,Rela.,2838,18907302,2756,2011,11,4.19,http://www.boxofficemojo.com/movies/?id=darkfields.htm,70,Action Thriller,PG-13,27,Neil Burger,Leslie Dixon,Paul Leonard,79249455
The Purge: Election Year,Uni.,2821,31515110,2796,2016,27,2.51,http://www.boxofficemojo.com/movies/?id=purge3.htm,54,Thriller,R,10,?,?,?,79213375
Pixels,Sony,3723,24011616,3723,2015,30,3.28,http://www.boxofficemojo.com/movies/?id=pixels.htm,16,Action Comedy,PG-13,88,Chris Columbus,Chris Columbus,Henry Jackman,78747585
Tower Heist,Uni.,3870,24025190,3367,2011,44,3.25,http://www.boxofficemojo.com/movies/?id=towerheist.htm,67,Comedy,PG-13,75,Brett Ratner,?,Christophe Beck,78046570
The Monuments Men,Sony,3083,22003433,3083,2014,6,3.55,http://www.boxofficemojo.com/movies/?id=monumentsmen.htm,30,Action Drama,PG-13,70,George Clooney,George Clooney,Alexandre Desplat,78031620
The Adventures of Tintin,Par.,3087,9720993,3087,2011,50,7.98,http://www.boxofficemojo.com/movies/?id=tintin.htm,75,Animation,PG,?,Steven Spielberg,Peter Jackson,John Williams,77591831
Parental Guidance,Fox,3368,14554053,3367,2012,52,5.31,http://www.boxofficemojo.com/movies/?id=parentalguidance.htm,17,Comedy,PG,25,Andy Fickman,Peter Chernin,Marc Shaiman,77267296
Where the Wild Things Are,WB,3735,32695407,3735,2009,42,2.36,http://www.boxofficemojo.com/movies/?id=wherethewildthingsare.htm,73,Family Adventure,PG,100,Spike Jonze,Gary Goetzman,Carter Burwell,77233467
The A-Team,Fox,3544,25669455,3535,2010,24,3.01,http://www.boxofficemojo.com/movies/?id=ateam.htm,47,Action,PG-13,110,Joe Carnahan,Ridley Scott,Alan Silvestri,77222099
Alice Through the Looking Glass,BV,3763,26858726,3763,2016,22,2.87,http://www.boxofficemojo.com/movies/?id=alice2.htm,30,Family Adventure,PG,170,James Bobin,Tim Burton,Danny Elfman,77041381
27 Dresses,Fox,3074,23007725,3057,2008,3,3.34,http://www.boxofficemojo.com/movies/?id=27dresses.htm,41,Romantic Comedy,PG-13,30,Anne Fletcher,Roger Birnbaum,Randy Edelman,76808654
Knight & Day,Fox,3104,20139985,3098,2010,26,3.79,http://www.boxofficemojo.com/movies/?id=cruisediaz10.htm,52,Comedy,PG-13,117,James Mangold,Todd Garner,John Powell,76423035
Paddington,W/Dim.,3355,18966676,3303,2015,3,4.02,http://www.boxofficemojo.com/movies/?id=paddington.htm,98,Family,PG,55,Paul King,David Heyman,Nick Urata,76271832
Pete's Dragon (2016),BV,3702,21514095,3702,2016,33,3.54,http://www.boxofficemojo.com/movies/?id=petesdragon2016.htm,87,Family,PG,65,?,?,?,76233151
Hellboy II: The Golden Army,Uni.,3212,34539115,3204,2008,28,2.2,http://www.boxofficemojo.com/movies/?id=hellboy2.htm,85,Action Horror,PG-13,85,Guillermo del Toro,Lawrence Gordon,Danny Elfman,75986503
The Intern,WB,3320,17728313,3305,2015,39,4.27,http://www.boxofficemojo.com/movies/?id=intern.htm,61,Comedy,PG-13,35,Nancy Meyers,?,?,75764672
Contagion,WB,3222,22403596,3222,2011,36,3.38,http://www.boxofficemojo.com/movies/?id=contagion.htm,84,Action Thriller,PG-13,60,Steven Soderbergh,Gregory Jacobs,Cliff Martinez,75658097
We Bought a Zoo,Fox,3170,9360434,3117,2011,51,8.08,http://www.boxofficemojo.com/movies/?id=weboughtazoo.htm,66,Comedy,PG,?,Cameron Crowe,Julie Yorn,?,75624550
2 Guns,Uni.,3028,27059130,3025,2013,31,2.79,http://www.boxofficemojo.com/movies/?id=2guns.htm,64,Action Comedy,R,61,Baltasar Kormakur,Randall Emmett,Clinton Shorter,75612460
Moneyball,Sony,3018,19501302,2993,2011,38,3.88,http://www.boxofficemojo.com/movies/?id=moneyball.htm,94,Sports Drama,PG-13,50,Bennett Miller,Michael De Luca,Mychael Danna,75605492
Zombieland,Sony,3171,24733155,3036,2009,40,3.06,http://www.boxofficemojo.com/movies/?id=zombieland.htm,90,Horror Comedy,R,23.6,Ruben Fleischer,Ryan Kavanaugh,David Sardy,75590286
The Girl on the Train (2016),Uni.,3241,24536265,3144,2016,41,3.07,http://www.boxofficemojo.com/movies/?id=thegirlonthetrain2016.htm,43,Thriller,R,45,Tate Taylor,Marc Platt,?,75395035
Coraline,Focus,2320,16849640,2299,2009,6,4.47,http://www.boxofficemojo.com/movies/?id=coraline.htm,90,Animation,PG,60,Henry Selick,?,?,75286229
No Country for Old Men,Mira.,2037,1226333,28,2007,47,60.57,http://www.boxofficemojo.com/movies/?id=nocountryforoldmen.htm,93,Crime Drama,R,?,Ethan Coen,Ethan Coen,Carter Burwell,74283625
Jack and Jill,Sony,3438,25003575,3438,2011,45,2.97,http://www.boxofficemojo.com/movies/?id=jackandjill.htm,3,Comedy,PG,79,Dennis Dugan,Allen Covert,Rupert Gregson,74158157
Hugo,Par.,2608,11364505,1277,2011,46,6.5,http://www.boxofficemojo.com/movies/?id=hugocabret.htm,94,Family Adventure,PG,?,Martin Scorsese,Johnny Depp,Howard Shore,73864507
Law Abiding Citizen,Over.,2890,21039502,2890,2009,42,3.49,http://www.boxofficemojo.com/movies/?id=lawabidingcitizen.htm,25,Thriller,R,50,F. Gary Gray,Kurt Wimmer,Brian Tyler,73357727
Boo! A Madea Halloween,LGF,2299,28501448,2260,2016,43,2.57,http://www.boxofficemojo.com/movies/?id=booamadeahalloween.htm,21,Horror Comedy,PG-13,20,Tyler Perry,Ozzie Areu,?,73206343
White House Down,Sony,3222,24852258,3222,2013,26,2.94,http://www.boxofficemojo.com/movies/?id=whitehousedown.htm,50,Action Drama,PG-13,150,Roland Emmerich,Reid Carolin,Harald Kloser,73103784
John Carter,BV,3749,30180188,3749,2012,10,2.42,http://www.boxofficemojo.com/movies/?id=johncarterofmars.htm,51,Sci-Fi Adventure,PG-13,250,Andrew Stanton,Colin Wilson,Michael Giacchino,73078100
Hotel for Dogs,P/DW,3271,17012212,3271,2009,3,4.29,http://www.boxofficemojo.com/movies/?id=hotelfordogs.htm,45,Family,PG,?,Thor Freudenthal,Jason Clark,John Debney,73034460
Dinner for Schmucks,P/DW,3046,23527839,2911,2010,31,3.1,http://www.boxofficemojo.com/movies/?id=dinnerforschmucks.htm,42,Comedy,PG-13,69,Jay Roach,Gary Barber,Theodore Shapiro,73026337
Justin Bieber: Never Say Never,Par.,3118,29514054,3105,2011,6,2.47,http://www.boxofficemojo.com/movies/?id=bieber3d.htm,64,Documentary,G,13,Jon Chu,Scooter Braun,Deborah Lurie,73013910
Hercules (2014),Par.,3595,29800263,3595,2014,30,2.44,http://www.boxofficemojo.com/movies/?id=hercules2014.htm,3,Action,PG-13,100,Brett Ratner,Peter Berg,?,72688614
Storks,WB,3922,21311407,3922,2016,39,3.41,http://www.boxofficemojo.com/movies/?id=storks.htm,63,Animation,PG,70,Nick Stoller,Brad Lewis,?,72679278
Bridge of Spies,BV,2873,15371203,2811,2015,42,4.7,http://www.boxofficemojo.com/movies/?id=coldwar2015.htm,91,Thriller,PG-13,40,Steven Spielberg,Daniel Lupi,Thomas Newman,72313754
Dolphin Tale,WB,3515,19152401,3507,2011,38,3.77,http://www.boxofficemojo.com/movies/?id=dolphintale.htm,81,Family,PG,37,Charles Martin Smith,Broderick Johnson,Mark Isham,72286779
Vantage Point,Sony,3163,22874936,3149,2008,8,3.16,http://www.boxofficemojo.com/movies/?id=vantagepoint.htm,35,Thriller,PG-13,40,Pete Travis,Neal H. Moritz,Atli Orvarsson,72266306
Michael Jackson's This Is It,Sony,3481,23234394,3481,2009,44,3.1,http://www.boxofficemojo.com/movies/?id=michaeljacksonthisisit.htm,81,Concert,PG,?,Kenny Ortega,?,?,72091016
10 Cloverfield Lane,Par.,3427,24727437,3391,2016,11,2.92,http://www.boxofficemojo.com/movies/?id=badrobot2016.htm,90,Thriller,PG-13,?,Dan Trachtenberg,J.J. Abrams,?,72082998
Fred Claus,WB,3603,18515473,3603,2007,45,3.89,http://www.boxofficemojo.com/movies/?id=fredclaus.htm,21,Comedy,PG,?,David Dobkin,Joel Silver,Christophe Beck,72006777
1408,MGM/W,2733,20617667,2678,2007,25,3.49,http://www.boxofficemojo.com/movies/?id=1408.htm,79,Horror,PG-13,25,Mikael Hafstrom,Lorenzo di Bonaventura,Gabriel Yared,71985628
The Purge: Anarchy,Uni.,2856,29816675,2805,2014,29,2.41,http://www.boxofficemojo.com/movies/?id=purge2.htm,56,Thriller,R,9,James DeMonaco,Michael Bay,Nathan Whitehead,71962800
Mama,Uni.,2781,28402310,2647,2013,3,2.52,http://www.boxofficemojo.com/movies/?id=mama.htm,65,Horror,PG-13,15,Andres Muschietti,J. Miles Dale,?,71628180
I Love You Man,P/DW,2829,17810270,2711,2009,12,4.01,http://www.boxofficemojo.com/movies/?id=iloveyouman.htm,84,Comedy,R,?,John Hamburg,Bill Johnson,Theodore Shapiro,71440011
Safe Haven,Rela.,3223,21401594,3223,2013,7,3.33,http://www.boxofficemojo.com/movies/?id=safehaven.htm,12,Romance,PG-13,28,Lasse Hallstrom,Marty Bowen,Deborah Lurie,71349120
The Spiderwick Chronicles,Par.,3847,19004058,3847,2008,7,3.75,http://www.boxofficemojo.com/movies/?id=spiderwickchronicles.htm,80,Fantasy,PG,90,Mark S. Waters,Mark Canton,James Horner,71195053
Paul Blart: Mall Cop 2,Sony,3633,23762435,3633,2015,16,2.99,http://www.boxofficemojo.com/movies/?id=paulblart2.htm,5,Comedy,PG,30,Andy Fickman,Todd Garner,Rupert Gregson,71038190
The Smurfs 2,Sony,3867,17548389,3866,2013,31,4.05,http://www.boxofficemojo.com/movies/?id=smurfs2.htm,13,Family Comedy,PG,105,Raja Gosnell,Jordan Kerner,Heitor Pereira,71017784
No Strings Attached,Par.,3050,19652921,3018,2011,3,3.6,http://www.boxofficemojo.com/movies/?id=friendswithbenefits.htm,49,Comedy,R,25,Ivan Reitman,Gary Barber,John Debney,70662220
The Best Man Holiday,Uni.,2041,30107555,2024,2013,46,2.34,http://www.boxofficemojo.com/movies/?id=bestman2.htm,69,Comedy,R,17,Malcolm D. Lee,Malcolm D. Lee,?,70525195
The Big Short,Par.,2529,705527,8,2015,52,99.58,http://www.boxofficemojo.com/movies/?id=bigshort.htm,88,Drama,R,28,Adam McKay,Dede Gardner,?,70259870
Fool's Gold,WB,3125,21589295,3125,2008,6,3.25,http://www.boxofficemojo.com/movies/?id=foolsgold.htm,11,Romantic Adventure,PG-13,70,Andy Tennant,Bernie Goldmann,George Fenton,70231041
The Golden Compass,NL,3528,25783232,3528,2007,49,2.72,http://www.boxofficemojo.com/movies/?id=goldencompass.htm,43,Fantasy,PG-13,180,Chris Weitz,?,Alexandre Desplat,70107728
Act of Valor,Rela.,3053,24476632,3039,2012,9,2.86,http://www.boxofficemojo.com/movies/?id=actofvalor.htm,25,Thriller,R,12,Mike McCoy,Jason Clark,Nathan Furst,70012847
Seven Pounds,Sony,2758,14851136,2758,2008,51,4.71,http://www.boxofficemojo.com/movies/?id=sevenpounds.htm,27,Drama,PG-13,55,Gabriele Muccino,Todd Black,?,69951824
Percy Jackson: Sea of Monsters,Fox,3080,14401054,3031,2013,32,4.76,http://www.boxofficemojo.com/movies/?id=percyjackson2.htm,42,Fantasy,PG,90,Thor Freudenthal,Chris Columbus,Andrew Lockington,68559554
Obsessed,SGem,2634,28612730,2514,2009,17,2.39,http://www.boxofficemojo.com/movies/?id=obsessed.htm,19,Thriller,PG-13,20,?,Will Packer,?,68261644
Mr. Popper's Penguins,Fox,3342,18445355,3339,2011,24,3.7,http://www.boxofficemojo.com/movies/?id=mrpopperspenguins.htm,48,Family Comedy,PG,55,Mark S. Waters,John Davis,?,68224452
War Room,TriS,1945,11351389,1135,2015,35,5.97,http://www.boxofficemojo.com/movies/?id=warroom2015.htm,33,Drama,PG,3,Alex Kendrick,?,?,67790117
The Tourist,Sony,2756,16472458,2756,2010,50,4.11,http://www.boxofficemojo.com/movies/?id=tourist.htm,20,Romantic Thriller,PG-13,100,Florian Henckel von Donnersmarck,Gary Barber,James Newton Howard,67631157
This Is 40,Uni.,2931,11579175,2912,2012,51,5.83,http://www.boxofficemojo.com/movies/?id=apatow.htm,51,Comedy,R,35,Judd Apatow,Judd Apatow,Jon Brion,67544505
A Good Day to Die Hard,Fox,3555,24834845,3553,2013,7,2.71,http://www.boxofficemojo.com/movies/?id=diehard5.htm,14,Action,R,92,John Moore,Wyck Godfrey,Marco Beltrami,67349198
Role Models,Uni.,2798,19167085,2792,2008,45,3.51,http://www.boxofficemojo.com/movies/?id=rolemodels.htm,78,Comedy,R,28,David Wain,Luke Greenfield,Craig Wedren,67294270
Lights Out,WB (NL),2835,21688103,2818,2016,30,3.1,http://www.boxofficemojo.com/movies/?id=newline0116.htm,76,Horror,PG-13,4.9,?,Lawrence Grey,?,67268835
Hacksaw Ridge,LGF,2971,15190758,2886,2016,45,4.42,http://www.boxofficemojo.com/movies/?id=hacksawridge.htm,87,Action Drama,R,?,Mel Gibson,?,?,67209615
Race to Witch Mountain,BV,3268,24402214,3187,2009,11,2.75,http://www.boxofficemojo.com/movies/?id=racetowitchmountain.htm,43,Family Adventure,PG,?,Andy Fickman,?,Trevor Rabin,67172594
The Bounty Hunter,Sony,3118,20686423,3074,2010,12,3.24,http://www.boxofficemojo.com/movies/?id=bountyhunter.htm,13,Action Comedy,PG-13,40,Andy Tennant,Ryan Kavanaugh,George Fenton,67061228
Alexander and the Terrible Horrible No Good Very Bad Day,BV,3117,18360230,3088,2014,41,3.65,http://www.boxofficemojo.com/movies/?id=alexanderbadday.htm,61,Family,PG,28,Miguel Arteta,Shawn Levy,Christophe Beck,66954149
Charlie Wilson's War,Uni.,2594,9656250,2575,2007,51,6.9,http://www.boxofficemojo.com/movies/?id=charliewilsonswar.htm,82,War Drama,R,75,Mike Nichols,Gary Goetzman,James Newton Howard,66661095
Contraband,Uni.,2870,24349815,2863,2012,3,2.73,http://www.boxofficemojo.com/movies/?id=contraband.htm,51,Thriller,R,25,Baltasar Kormakur,Tim Bevan,Clinton Shorter,66528000
Looper,TriS,2993,20801552,2992,2012,39,3.2,http://www.boxofficemojo.com/movies/?id=loopers.htm,93,Sci-Fi Action,R,30,Rian Johnson,Ram Bergman,Nathan Johnson,66486205
The Final Destination,WB (NL),3121,27408309,3121,2009,35,2.43,http://www.boxofficemojo.com/movies/?id=finaldestination4.htm,29,Horror,R,40,David R. Ellis,?,Brian Tyler,66477700
Warm Bodies,LG/S,3009,20353967,3009,2013,5,3.26,http://www.boxofficemojo.com/movies/?id=warmbodies.htm,80,Drama,PG-13,35,Jonathan Levine,David Hoberman,Marco Beltrami,66380662
The Divergent Series: Allegiant,LG/S,3740,29027348,3740,2016,12,2.28,http://www.boxofficemojo.com/movies/?id=allegiant.htm,12,Action,PG-13,?,Robert Schwentke,Lucy Fisher,?,66184051
Magic Mike XXL,WB,3376,12857184,3355,2015,27,5.13,http://www.boxofficemojo.com/movies/?id=magicmike2.htm,63,Comedy,R,14.8,Gregory Jacobs,Reid Carolin,?,66013057
Tyler Perry's Madea's Witness Protection,LGF,2161,25390575,2161,2012,26,2.59,http://www.boxofficemojo.com/movies/?id=madeaswitnessprotection.htm,21,Comedy,PG-13,20,Tyler Perry,Ozzie Areu,Aaron Zigman,65653242
The Taking of Pelham 1 2 3,Sony,3077,23373102,3074,2009,24,2.8,http://www.boxofficemojo.com/movies/?id=takingofpelham09.htm,51,Action Thriller,R,100,Tony Scott,Todd Black,Harry Gregson,65452312
Battleship,Uni.,3702,25534825,3690,2012,20,2.56,http://www.boxofficemojo.com/movies/?id=battleship.htm,34,Action,PG-13,209,Peter Berg,Peter Berg,Steve Jablonsky,65422625
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,BV,687,31117834,683,2008,5,2.1,http://www.boxofficemojo.com/movies/?id=hannahmontanaconcert.htm,72,Concert,G,?,?,?,?,65281781
The Visit,Uni.,3148,25427560,3069,2015,37,2.56,http://www.boxofficemojo.com/movies/?id=blumhouse2015.htm,64,Horror,PG-13,5,M. Night Shyamalan,Jason Blum,?,65206105
Jack the Giant Slayer,WB (NL),3525,27202226,3525,2013,9,2.4,http://www.boxofficemojo.com/movies/?id=jackthegiantkiller.htm,52,Adventure,PG-13,195,Bryan Singer,Jon Jashni,John Ottman,65187603
Think Like a Man Too,SGem,2225,29241911,2225,2014,25,2.23,http://www.boxofficemojo.com/movies/?id=thinklikeaman2.htm,23,Comedy,PG-13,24,Tim Story,Steve Harvey,Christopher Lennertz,65182182
Now You See Me 2,LG/S,3232,22383146,3232,2016,24,2.91,http://www.boxofficemojo.com/movies/?id=nowyouseeme2.htm,34,Thriller,PG-13,?,Jon Chu,Alex Kurtzman,Brian Tyler,65075540
Exodus: Gods and Kings,Fox,3503,24115934,3503,2014,50,2.7,http://www.boxofficemojo.com/movies/?id=exodus.htm,27,Drama,PG-13,140,Ridley Scott,Peter Chernin,Alberto Iglesias,65014513
Friday the 13th (2009),WB (NL),3105,40570365,3105,2009,7,1.6,http://www.boxofficemojo.com/movies/?id=fridaythe13th09.htm,25,Horror,R,19,Marcus Nispel,Michael Bay,Steve Jablonsky,65002019
Pitch Perfect,Uni.,2787,5149433,335,2012,40,12.62,http://www.boxofficemojo.com/movies/?id=pitchperfect.htm,80,Comedy,PG-13,17,Jason Moore,Elizabeth Banks,Christophe Beck,65001093
Mirror Mirror,Rela.,3618,18132085,3603,2012,13,3.58,http://www.boxofficemojo.com/movies/?id=untitledsnowwhite.htm,49,Fantasy,PG,85,Tarsem,Bernie Goldmann,Alan Menken,64935167
Chronicle (2012),Fox,2908,22004098,2907,2012,6,2.93,http://www.boxofficemojo.com/movies/?id=chronicle2012.htm,85,Sci-Fi Action,PG-13,12,Josh Trank,John Davis,?,64575175
The Happening,Fox,2986,30517109,2986,2008,24,2.11,http://www.boxofficemojo.com/movies/?id=happening.htm,18,Thriller,R,48,M. Night Shyamalan,Gary Barber,James Newton Howard,64506874
The Purge,Uni.,2591,34058360,2536,2013,23,1.89,http://www.boxofficemojo.com/movies/?id=purge.htm,37,Thriller,R,3,James DeMonaco,Michael Bay,Nathan Whitehead,64473115
The Wedding Ringer,SGem,3003,20649306,3003,2015,3,3.12,http://www.boxofficemojo.com/movies/?id=kevinhart15.htm,29,Comedy,R,23,Jeremy Garelick,Jeremy Garelick,Christopher Lennertz,64460211
The Nut Job,ORF,3472,19423000,3427,2014,3,3.31,http://www.boxofficemojo.com/movies/?id=nutjob.htm,10,Animation,PG,42,Peter Lepeniotis,Graham Moloy,Paul Intson,64251541
17 Again,WB (NL),3255,23722310,3255,2009,16,2.7,http://www.boxofficemojo.com/movies/?id=17again.htm,55,Fantasy Comedy,PG-13,?,Burr Steers,Jennifer Gibgot,Rolfe Kent,64167069
Ice Age: Collision Course,Fox,3997,21373064,3992,2016,30,3,http://www.boxofficemojo.com/movies/?id=iceage5.htm,15,Animation,PG,105,Mike Thurmeier,?,?,64063008
Happy Feet Two,WB,3611,21237068,3606,2011,46,3.01,http://www.boxofficemojo.com/movies/?id=happyfeet2.htm,46,Animation,PG,?,George Miller,George Miller,John Powell,64006466
Diary of a Wimpy Kid,Fox,3083,22126166,3077,2010,12,2.89,http://www.boxofficemojo.com/movies/?id=diaryofawimpykid.htm,53,Comedy,PG,15,Thor Freudenthal,Nina Jacobson,Theodore Shapiro,64003625
Last Vegas,CBS,3237,16334566,3065,2013,44,3.91,http://www.boxofficemojo.com/movies/?id=lastvegas.htm,46,Comedy,PG-13,28,Jon Turteltaub,Amy Baer,Mark Mothersbaugh,63914167
Unknown,WB,3043,21856389,3043,2011,7,2.91,http://www.boxofficemojo.com/movies/?id=unknownwhitemale11.htm,38,Drama,PG-13,30,Jaume Collet,Susan Downey,John Ottman,63686397
Hope Springs,Sony,2441,14650121,2361,2012,32,4.34,http://www.boxofficemojo.com/movies/?id=greathopesprings.htm,25,Comedy,PG-13,?,David Frankel,Todd Black,Theodore Shapiro,63536011
The Time Traveler's Wife,WB (NL),2988,18623171,2988,2009,33,3.41,http://www.boxofficemojo.com/movies/?id=timetravelerswife.htm,38,Romance,PG-13,39,Robert Schwentke,Dede Gardner,Mychael Danna,63414846
Saw IV,LGF,3183,31756764,3183,2007,43,1.99,http://www.boxofficemojo.com/movies/?id=saw4.htm,17,Horror,R,?,Darren Lynn Bousman,James Wan,?,63300095
The Boss,Uni.,3495,23586645,3480,2016,15,2.68,http://www.boxofficemojo.com/movies/?id=michelledarnell.htm,22,Comedy,R,29,Ben Falcone,Ben Falcone,?,63285885
Forgetting Sarah Marshall,Uni.,2872,17725330,2798,2008,16,3.56,http://www.boxofficemojo.com/movies/?id=forgettingsarahmarshall.htm,85,Comedy,R,30,Nick Stoller,Rodney Rothman,Lyle Workman,63172463
The Sorcerer's Apprentice,BV,3504,17619622,3504,2010,29,3.58,http://www.boxofficemojo.com/movies/?id=sorcerersapprentice.htm,41,Fantasy,PG,150,Jon Turteltaub,Jerry Bruckheimer,Trevor Rabin,63150991
A Nightmare on Elm Street (2010),WB (NL),3332,32902299,3332,2010,18,1.92,http://www.boxofficemojo.com/movies/?id=nightmareonelmstreet10.htm,15,Horror,R,35,?,Michael Bay,Steve Jablonsky,63075011
The Last Song,BV,2794,16007426,2673,2010,14,3.93,http://www.boxofficemojo.com/movies/?id=lastsong.htm,20,Drama,PG,20,Julie Anne Robinson,Jennifer Gibgot,Aaron Zigman,62950384
Black Mass,WB,3188,22635037,3188,2015,38,2.76,http://www.boxofficemojo.com/movies/?id=whiteybulger15.htm,74,Crime Drama,R,53,Scott Cooper,?,Junkie XL,62575678
London Has Fallen,Focus,3492,21635601,3490,2016,10,2.89,http://www.boxofficemojo.com/movies/?id=londonhasfallen.htm,25,Action,R,60,?,Peter Schlessel,?,62524260
The Adjustment Bureau,Uni.,2847,21157730,2840,2011,9,2.95,http://www.boxofficemojo.com/movies/?id=adjustmentbureau.htm,72,Sci-Fi Thriller,PG-13,50.2,George Nolfi,Chris Moore,Thomas Newman,62495645
Underworld Awakening,SGem,3078,25306725,3078,2012,4,2.46,http://www.boxofficemojo.com/movies/?id=underworld4.htm,26,Action Horror,R,70,Mars Marlind,Gary Lucchesi,Paul Haslinger,62321039
The Wolfman,Uni.,3223,31479235,3222,2010,7,1.97,http://www.boxofficemojo.com/movies/?id=wolfman.htm,34,Horror,R,150,Joe Johnston,Ryan Kavanaugh,Danny Elfman,61979680
Ender's Game,LG/S,3407,27017351,3407,2013,44,2.29,http://www.boxofficemojo.com/movies/?id=endersgame.htm,60,Sci-Fi,PG-13,110,Gavin Hood,Robert Chartoff,?,61737191
Miracles from Heaven,TriS,3155,14812393,3047,2016,12,4.17,http://www.boxofficemojo.com/movies/?id=miraclesfromheaven.htm,43,Drama,PG,13,Patricia Riggen,T.D. Jakes,?,61705123
Deepwater Horizon,LG/S,3403,20223544,3259,2016,40,3.04,http://www.boxofficemojo.com/movies/?id=deepwaterhorizon.htm,84,Action Drama,PG-13,110,Peter Berg,Lorenzo di Bonaventura,Steve Jablonsky,61433527
Stomp the Yard,SGem,2169,21833312,2051,2007,2,2.81,http://www.boxofficemojo.com/movies/?id=stomptheyard.htm,26,Music Drama,PG-13,13,?,Rob Hardy,?,61356221
Prisoners,WB,3290,20817053,3260,2013,38,2.93,http://www.boxofficemojo.com/movies/?id=prisoners.htm,81,Action Thriller,R,46,Denis Villeneuve,Broderick Johnson,?,61002302
Get Him to the Greek,Uni.,2702,17570955,2697,2010,23,3.47,http://www.boxofficemojo.com/movies/?id=gethimtothegreek.htm,72,Comedy,R,40,Nick Stoller,Judd Apatow,Lyle Workman,60974475
God's Not Dead,Free,1860,9217013,780,2014,12,6.59,http://www.boxofficemojo.com/movies/?id=godsnotdead.htm,15,Drama,PG,2,?,?,?,60755732
After Earth,Sony,3401,27520040,3401,2013,22,2.2,http://www.boxofficemojo.com/movies/?id=1000ae.htm,11,Sci-Fi,PG-13,130,M. Night Shyamalan,Jada Pinkett,James Newton Howard,60522097
Baby Mama,Uni.,2627,17407110,2543,2008,17,3.48,http://www.boxofficemojo.com/movies/?id=babymama.htm,64,Comedy,PG-13,30,Michael McCullers,Lorne Michaels,?,60494212
The Lucky One,WB,3175,22518358,3155,2012,16,2.68,http://www.boxofficemojo.com/movies/?id=luckyone.htm,20,Romance,PG-13,?,Scott Hicks,Denise Di Novi,Mark Isham,60457138
Burn After Reading,Focus,2657,19128001,2651,2008,37,3.16,http://www.boxofficemojo.com/movies/?id=burnafterreading.htm,78,Comedy,R,37,Ethan Coen,Tim Bevan,Carter Burwell,60355347
Resident Evil: Afterlife,SGem,3209,26650264,3203,2010,37,2.26,http://www.boxofficemojo.com/movies/?id=residentevil4.htm,23,Action Horror,R,60,Paul W.S. Anderson,Paul W.S. Anderson,tomandandy,60128566
Tyler Perry's Why Did I Get Married Too?,LGF,2155,29289537,2155,2010,14,2.05,http://www.boxofficemojo.com/movies/?id=whydidigetmarriedtoo.htm,26,Comedy,PG-13,20,Tyler Perry,Tyler Perry,?,60095852
Bruno,Uni.,2759,30619130,2756,2009,28,1.96,http://www.boxofficemojo.com/movies/?id=bruno.htm,68,Comedy,R,?,Larry Charles,Sacha Baron Cohen,Erran Baron Cohen,60054530
Tooth Fairy,Fox,3345,14010409,3344,2010,4,4.28,http://www.boxofficemojo.com/movies/?id=toothfairy.htm,22,Fantasy Comedy,PG,48,Michael Lembeck,Jason Blum,?,60022256
Why Him?,Fox,3008,11002986,2917,2016,52,5.45,http://www.boxofficemojo.com/movies/?id=whyhim.htm,40,Comedy,R,38,John Hamburg,?,?,60001559
Secretariat,BV,3108,12694770,3072,2010,41,4.7,http://www.boxofficemojo.com/movies/?id=secretariat.htm,63,Sports Drama,PG,35,Randall Wallace,Bill Johnson,Nick Glennie,59713955
Son of God,Fox,3271,25601865,3260,2014,9,2.33,http://www.boxofficemojo.com/movies/?id=sonofgod.htm,21,Drama,PG-13,?,Christopher Spencer,Mark Burnett,Lorne Balfe,59700064
My Big Fat Greek Wedding 2,Uni.,3179,17861950,3133,2016,13,3.34,http://www.boxofficemojo.com/movies/?id=mybigfatgreekwedding2.htm,29,Comedy,PG-13,?,Kirk Jones,?,?,59689605
The Dictator,Par.,3014,17435092,3008,2012,20,3.42,http://www.boxofficemojo.com/movies/?id=dictator.htm,57,Comedy,R,65,Larry Charles,Alec Berg,Erran Baron Cohen,59650222
The Grand Budapest Hotel,FoxS,1467,811166,4,2014,13,73.11,http://www.boxofficemojo.com/movies/?id=grandbudapesthotel.htm,92,Comedy,R,25,Wes Anderson,Wes Anderson,Alexandre Desplat,59301324
Planes: Fire & Rescue,BV,3839,17509407,3826,2014,29,3.38,http://www.boxofficemojo.com/movies/?id=planes2.htm,44,Animation,PG,50,Roberts Gannaway,John Lasseter,Mark Mancina,59165787
Vacation,WB (NL),3430,14681108,3411,2015,31,4.01,http://www.boxofficemojo.com/movies/?id=newline15.htm,26,Comedy,R,31,John Francis Daley,Chris Bender,Mark Mothersbaugh,58884188
Total Recall (2012),Sony,3601,25577758,3601,2012,31,2.3,http://www.boxofficemojo.com/movies/?id=totalrecall2012.htm,30,Sci-Fi Action,PG-13,125,Len Wiseman,Toby Jaffe,Harry Gregson,58877969
Surf's Up,Sony,3531,17640249,3528,2007,23,3.34,http://www.boxofficemojo.com/movies/?id=surfsup.htm,78,Animation,PG,?,Chris Buck,?,Mychael Danna,58867694
